,country,total,death,recoveries
196,Cayman Islands,318,2,290
197,Saint Lucia,303,5,263
198,Guernsey,297,13,278
199,Seychelles,202,0,184
200,Antigua and Barbuda,153,5,143
201,Brunei,150,3,145
202,Costa Atlantica,148,0,148
203,Bonaire,142,3,138
204,Greg Mortimer,128,1,0
205,Northern Mariana Islands,113,2,32
206,Saint Vincent and The Grenadines,108,0,85
207,Grenada,103,0,49
208,Dominica,96,0,87
209,British Virgin Islands,72,1,70
210,Antarctica,58,0,0
211,Fiji,46,2,44
212,Macau,46,0,46
213,Laos,41,0,37
214,New Caledonia,36,0,30
215,Sahrawi Arab DR,31,3,27
216,East Timor,30,0,30
217,Saint Kitts and Nevis,30,0,24
218,Vatican City,29,0,27
219,Greenland,26,0,19
220,Sint Eustatius,18,0,18
221,Solomon Islands,17,0,5
222,Falkland Islands,17,0,17
223,Saint Pierre and Miquelon,16,0,12
224,Montserrat,13,1,12
225,MS Zaandam,13,4,0
226,Coral Princess,12,3,0
227,Anguilla,10,0,3
228,SeaDream I,9,0,0
229,HNLMS Dolfijn,8,0,8
230,Saba,5,0,5
231,Marshall Islands,4,0,2
232,Wallis and Futuna,4,0,1
233,American Samoa,3,0,0
234,Samoa,2,0,0
235,Vanuatu,1,0,1
236,Tanzania,0,0,0
